timesteps,return
2.497300000000000000e+04,1.270000000000000000e+02
2.516000000000000000e+04,1.870000000000000000e+02
2.526800000000000000e+04,1.080000000000000000e+02
2.541500000000000000e+04,1.470000000000000000e+02
2.553400000000000000e+04,1.190000000000000000e+02
2.570100000000000000e+04,1.670000000000000000e+02
2.584400000000000000e+04,1.430000000000000000e+02
2.598900000000000000e+04,1.450000000000000000e+02
2.619800000000000000e+04,2.090000000000000000e+02
2.642200000000000000e+04,2.240000000000000000e+02
2.659000000000000000e+04,1.680000000000000000e+02
2.678400000000000000e+04,1.940000000000000000e+02
2.690600000000000000e+04,1.220000000000000000e+02
2.704700000000000000e+04,1.410000000000000000e+02
2.721600000000000000e+04,1.690000000000000000e+02
2.740700000000000000e+04,1.910000000000000000e+02
2.756000000000000000e+04,1.530000000000000000e+02
2.773300000000000000e+04,1.730000000000000000e+02
2.795700000000000000e+04,2.240000000000000000e+02
2.814000000000000000e+04,1.830000000000000000e+02
2.826500000000000000e+04,1.250000000000000000e+02
2.849600000000000000e+04,2.310000000000000000e+02
2.867300000000000000e+04,1.770000000000000000e+02
2.879100000000000000e+04,1.180000000000000000e+02
2.892700000000000000e+04,1.360000000000000000e+02
2.916400000000000000e+04,2.370000000000000000e+02
2.937100000000000000e+04,2.070000000000000000e+02
2.957100000000000000e+04,2.000000000000000000e+02
2.974400000000000000e+04,1.730000000000000000e+02
2.990800000000000000e+04,1.640000000000000000e+02
3.013000000000000000e+04,2.220000000000000000e+02
3.034400000000000000e+04,2.140000000000000000e+02
3.048200000000000000e+04,1.380000000000000000e+02
3.071600000000000000e+04,2.340000000000000000e+02
3.092300000000000000e+04,2.070000000000000000e+02
3.108900000000000000e+04,1.660000000000000000e+02
3.130300000000000000e+04,2.140000000000000000e+02
3.146000000000000000e+04,1.570000000000000000e+02
3.164900000000000000e+04,1.890000000000000000e+02
3.185300000000000000e+04,2.040000000000000000e+02
3.204200000000000000e+04,1.890000000000000000e+02
3.222600000000000000e+04,1.840000000000000000e+02
3.236300000000000000e+04,1.370000000000000000e+02
3.260400000000000000e+04,2.410000000000000000e+02
3.278000000000000000e+04,1.760000000000000000e+02
3.301300000000000000e+04,2.330000000000000000e+02
3.315600000000000000e+04,1.430000000000000000e+02
3.336400000000000000e+04,2.080000000000000000e+02
3.354600000000000000e+04,1.820000000000000000e+02
3.372500000000000000e+04,1.790000000000000000e+02
3.389700000000000000e+04,1.720000000000000000e+02
3.408100000000000000e+04,1.840000000000000000e+02
3.423800000000000000e+04,1.570000000000000000e+02
3.440700000000000000e+04,1.690000000000000000e+02
3.456200000000000000e+04,1.550000000000000000e+02
3.471700000000000000e+04,1.550000000000000000e+02
3.486700000000000000e+04,1.500000000000000000e+02
3.505500000000000000e+04,1.880000000000000000e+02
3.521500000000000000e+04,1.600000000000000000e+02
3.539600000000000000e+04,1.810000000000000000e+02
3.555400000000000000e+04,1.580000000000000000e+02
3.574400000000000000e+04,1.900000000000000000e+02
3.588300000000000000e+04,1.390000000000000000e+02
3.604400000000000000e+04,1.610000000000000000e+02
3.620800000000000000e+04,1.640000000000000000e+02
3.634800000000000000e+04,1.400000000000000000e+02
3.648900000000000000e+04,1.410000000000000000e+02
3.666600000000000000e+04,1.770000000000000000e+02
3.681200000000000000e+04,1.460000000000000000e+02
3.697100000000000000e+04,1.590000000000000000e+02
3.713300000000000000e+04,1.620000000000000000e+02
3.728200000000000000e+04,1.490000000000000000e+02
3.748000000000000000e+04,1.980000000000000000e+02
3.764000000000000000e+04,1.600000000000000000e+02
3.783300000000000000e+04,1.930000000000000000e+02
3.799400000000000000e+04,1.610000000000000000e+02
3.813700000000000000e+04,1.430000000000000000e+02
3.828600000000000000e+04,1.490000000000000000e+02
3.843600000000000000e+04,1.500000000000000000e+02
3.858100000000000000e+04,1.450000000000000000e+02
3.872100000000000000e+04,1.400000000000000000e+02
3.885600000000000000e+04,1.350000000000000000e+02
3.903300000000000000e+04,1.770000000000000000e+02
3.919100000000000000e+04,1.580000000000000000e+02
3.934400000000000000e+04,1.530000000000000000e+02
3.948000000000000000e+04,1.360000000000000000e+02
3.963100000000000000e+04,1.510000000000000000e+02
3.978200000000000000e+04,1.510000000000000000e+02
3.991700000000000000e+04,1.350000000000000000e+02
4.005400000000000000e+04,1.370000000000000000e+02
4.018300000000000000e+04,1.290000000000000000e+02
4.033800000000000000e+04,1.550000000000000000e+02
4.049000000000000000e+04,1.520000000000000000e+02
4.064200000000000000e+04,1.520000000000000000e+02
