environment,epoch,episode_return,episode_length
Standard,48.86474609375,500.0,500
Custom,0.01611328125,25.525157,33
Custom,0.0283203125,14.895218,25
Custom,0.03369140625,3.117857,11
Custom,0.0400390625,3.969929,13
Custom,0.046875,6.313983,14
Custom,0.06884765625,37.211908,45
Custom,0.07763671875,11.628225,18
Custom,0.083984375,6.277685,13
Custom,0.09521484375,16.629581,23
Custom,0.10009765625,2.119028,10
Custom,0.11572265625,18.683549,32
Custom,0.123046875,8.074553,15
Custom,0.1337890625,15.896658,22
Custom,0.1396484375,4.824433,12
Custom,0.14501953125,4.418765,11
Custom,0.15087890625,3.442649,12
Custom,0.16552734375,23.414891,30
Custom,0.18212890625,18.580189,34
Custom,0.189453125,9.02358,15
Custom,0.21435546875,39.08887,51
Custom,0.22021484375,5.620998,12
Custom,0.23095703125,8.966783,22
Custom,0.2373046875,2.47268,13
Custom,0.2587890625,28.284905,44
Custom,0.26416015625,-0.141446,11
Custom,0.2734375,12.327379,19
Custom,0.28369140625,13.818185,21
Custom,0.29638671875,18.422087,26
Custom,0.3076171875,16.031447,23
Custom,0.3232421875,21.749806,32
Custom,0.33056640625,4.66605,15
Custom,0.3369140625,6.438428,13
Custom,0.3427734375,1.327234,12
Custom,0.3505859375,10.118885,16
Custom,0.3994140625,74.862184,100
Custom,0.40576171875,7.390104,13
Custom,0.4189453125,19.856179,27
Custom,0.427734375,11.575325,18
Custom,0.4443359375,25.866567,34
Custom,0.44970703125,2.04994,11
Custom,0.458984375,9.648658,19
Custom,0.47314453125,20.99884,29
Custom,0.4931640625,30.898428,41
Custom,0.50634765625,15.882086,27
Custom,0.51318359375,7.598335,14
Custom,0.52294921875,13.040656,20
Custom,0.52978515625,4.717299,14
Custom,0.53564453125,5.805659,12
Custom,0.5439453125,3.346388,17
Custom,0.55224609375,10.946997,17
Custom,0.56494140625,15.901079,26
Custom,0.5771484375,16.697648,25
Custom,0.583984375,5.730672,14
Custom,0.5927734375,4.987758,18
Custom,0.59716796875,0.904089,9
Custom,0.60546875,10.315257,17
Custom,0.623046875,24.813243,36
Custom,0.63232421875,11.135867,19
Custom,0.64111328125,10.058874,18
Custom,0.64794921875,6.069241,14
Custom,0.66357421875,24.350075,32
Custom,0.69775390625,50.406216,70
Custom,0.70947265625,17.02852,24
Custom,0.7177734375,7.821359,17
Custom,0.724609375,5.512154,14
Custom,0.7333984375,10.976046,18
Custom,0.7470703125,20.749171,28
Custom,0.75390625,5.039515,14
Custom,0.76025390625,5.332123,13
Custom,0.77880859375,25.846966,38
Custom,0.78564453125,7.239314,14
Custom,0.79296875,8.909779,15
Custom,0.80322265625,10.667398,21
Custom,0.81494140625,14.548967,24
Custom,0.83056640625,25.021144,32
Custom,0.84130859375,14.864656,22
Custom,0.84619140625,0.902763,10
Custom,0.85400390625,8.813652,16
Custom,0.8701171875,23.538525,33
Custom,0.87646484375,2.699096,13
Custom,0.888671875,14.654776,25
Custom,0.89599609375,8.273249,15
Custom,0.9033203125,7.987515,15
Custom,0.91015625,5.647745,14
Custom,0.9150390625,-2.140455,10
Custom,0.927734375,4.146573,26
Custom,0.93310546875,2.760226,11
Custom,0.9453125,14.890539,25
Custom,0.96044921875,23.333903,31
Custom,0.9677734375,8.519067,15
Custom,0.9794921875,15.93759,24
Custom,0.98974609375,12.907466,21
Custom,0.99755859375,5.357497,16
Custom,1.02197265625,37.671681,50
Custom,1.04150390625,29.230138,40
Custom,1.0517578125,13.989672,21
Custom,1.064453125,16.281592,26
Custom,1.078125,20.117195,28
Custom,1.0859375,7.716859,16
Custom,1.10986328125,39.283227,49
Custom,1.11669921875,2.648192,14
Custom,1.1279296875,14.915025,23
Custom,1.138671875,15.659593,22
Custom,1.14404296875,1.610729,11
Custom,1.1591796875,23.168237,31
Custom,1.1669921875,10.140638,16
Custom,1.18408203125,23.604295,35
Custom,1.19091796875,5.299722,14
Custom,1.201171875,13.822411,21
Custom,1.2080078125,8.417959,14
Custom,1.21923828125,17.028494,23
Custom,1.22509765625,5.479315,12
Custom,1.2353515625,10.415109,21
Custom,1.2509765625,22.988357,32
Custom,1.30419921875,44.764013,109
Custom,1.32080078125,22.965934,34
Custom,1.3271484375,6.236068,13
Custom,1.3447265625,26.469902,36
Custom,1.3525390625,8.664202,16
Custom,1.36328125,11.28231,22
Custom,1.373046875,13.189793,20
Custom,1.392578125,31.136993,40
Custom,1.40283203125,10.983771,21
Custom,1.4248046875,36.628489,45
Custom,1.4453125,29.415332,42
Custom,1.4501953125,1.960669,10
Custom,1.4658203125,24.248065,32
Custom,1.47998046875,19.771165,29
Custom,1.4921875,17.835227,25
Custom,1.5078125,20.196463,32
Custom,1.51416015625,4.391961,13
Custom,1.51953125,4.40198,11
Custom,1.5361328125,25.740263,34
Custom,1.548828125,19.216847,26
Custom,1.5673828125,29.464695,38
Custom,1.580078125,19.162979,26
Custom,1.58935546875,12.57037,19
Custom,1.59912109375,3.731867,20
Custom,1.60693359375,9.519802,16
Custom,1.61669921875,13.209175,20
Custom,1.630859375,20.726684,29
Custom,1.65625,40.608691,52
Custom,1.6611328125,-2.142669,10
Custom,1.7099609375,72.897378,100
Custom,1.7216796875,16.935782,24
Custom,1.728515625,6.976211,14
Custom,1.74169921875,20.379768,27
Custom,1.763671875,31.787426,45
Custom,1.77294921875,9.052426,19
Custom,1.78271484375,14.459698,20
Custom,1.791015625,10.385558,17
Custom,1.79638671875,3.694734,11
Custom,1.80615234375,12.739743,20
Custom,1.81689453125,14.118615,22
Custom,1.8349609375,27.611472,37
Custom,1.84765625,17.792863,26
Custom,1.86328125,24.976808,32
Custom,1.8828125,20.028929,40
Custom,1.89453125,14.087852,24
Custom,1.90966796875,22.751335,31
Custom,1.91748046875,7.298606,16
Custom,1.93212890625,22.245438,30
Custom,1.9521484375,28.605051,41
Custom,1.99267578125,59.996448,83
Custom,2.001953125,11.047104,19
Custom,2.0185546875,24.000109,34
Custom,2.02880859375,13.647092,21
Custom,2.04833984375,30.043566,40
Custom,2.05517578125,7.757632,14
Custom,2.076171875,24.559553,43
Custom,2.0888671875,18.139358,26
Custom,2.12255859375,52.136558,69
Custom,2.14306640625,27.992723,42
Custom,2.15576171875,16.27627,26
Custom,2.18603515625,50.835785,62
Custom,2.19970703125,20.682825,28
Custom,2.2373046875,52.58377,77
Custom,2.25439453125,25.828239,35
Custom,2.2783203125,39.930977,49
Custom,2.28857421875,12.093418,21
Custom,2.3154296875,41.883944,55
Custom,2.33154296875,23.27415,33
Custom,2.35791015625,36.945888,54
Custom,2.37548828125,23.652584,36
Custom,2.38623046875,15.517138,22
Custom,2.4072265625,33.456,43
Custom,2.42724609375,32.919626,41
Custom,2.43359375,6.483519,13
Custom,2.4775390625,77.277562,90
Custom,2.53759765625,100.276415,123
Custom,2.5498046875,18.545452,25
Custom,2.580078125,54.289034,62
Custom,2.595703125,23.911339,32
Custom,2.6201171875,40.663937,50
Custom,2.65380859375,56.589984,69
Custom,2.666015625,17.484422,25
Custom,2.6826171875,25.928142,34
Custom,2.7109375,44.518469,58
Custom,2.74169921875,49.532677,63
Custom,2.74853515625,7.846699,14
Custom,2.75927734375,14.565097,22
Custom,2.78271484375,25.811891,48
Custom,2.794921875,16.956242,25
Custom,2.8095703125,23.335877,30
Custom,2.8720703125,108.570509,128
Custom,2.88818359375,25.407104,33
Custom,2.90234375,21.843963,29
Custom,2.943359375,71.381354,84
Custom,2.9736328125,48.778609,62
Custom,2.98388671875,14.716599,21
Custom,2.99951171875,23.550781,32
Custom,3.01220703125,14.691001,26
Custom,3.03076171875,26.554697,38
Custom,3.0390625,10.064738,17
Custom,3.08544921875,81.026379,95
Custom,3.12255859375,51.436589,76
Custom,3.17041015625,75.877513,98
Custom,3.2001953125,46.732737,61
Custom,3.22705078125,47.333068,55
Custom,3.28759765625,109.088688,124
Custom,3.3388671875,88.802202,105
Custom,3.36328125,40.272257,50
Custom,3.39599609375,58.085733,67
Custom,3.4365234375,49.1543,83
Custom,3.4619140625,33.572419,52
Custom,3.4794921875,22.578395,36
Custom,3.49560546875,25.608399,33
Custom,3.52880859375,48.278986,68
Custom,3.5478515625,27.473761,39
Custom,3.5693359375,30.99377,44
Custom,3.5986328125,28.113615,60
Custom,3.6220703125,31.597479,48
Custom,3.66650390625,74.525621,91
Custom,3.6787109375,18.082401,25
Custom,3.68505859375,7.402384,13
Custom,3.71240234375,44.040189,56
Custom,3.73583984375,37.09127,48
Custom,3.779296875,69.048976,89
Custom,3.80615234375,37.655636,55
Custom,3.84521484375,67.327115,80
Custom,3.8759765625,50.997294,63
Custom,3.91845703125,65.19022,87
Custom,3.94580078125,28.074606,56
Custom,3.95703125,16.606542,23
Custom,3.990234375,55.462572,68
Custom,4.0078125,24.610893,36
Custom,4.0458984375,67.156671,78
Custom,4.06884765625,39.0543,47
Custom,4.1259765625,76.313263,117
Custom,4.162109375,54.014055,74
Custom,4.20751953125,61.179246,93
Custom,4.279296875,119.939833,147
Custom,4.306640625,39.851727,56
Custom,4.369140625,103.786669,128
Custom,4.40234375,47.002729,68
Custom,4.4375,45.405116,72
Custom,4.5087890625,52.25195,146
Custom,4.53515625,36.143136,54
Custom,4.552734375,28.933139,36
Custom,4.6201171875,83.665169,138
Custom,4.66357421875,59.43853,89
Custom,4.7529296875,150.369905,183
Custom,4.78125,38.344934,58
Custom,4.81494140625,53.484932,69
Custom,4.83349609375,26.39374,38
Custom,4.8720703125,63.970673,79
Custom,4.9140625,67.847487,86
Custom,4.94580078125,43.238457,65
Custom,4.99658203125,49.490516,104
Custom,5.05126953125,35.282766,112
Custom,5.10986328125,98.861144,120
Custom,5.1455078125,49.601338,73
Custom,5.19921875,93.320515,110
Custom,5.27490234375,93.463073,155
Custom,5.3212890625,81.037282,95
Custom,5.38134765625,70.989951,123
Custom,5.40869140625,30.184515,56
Custom,5.4443359375,48.552459,73
Custom,5.47802734375,34.897788,69
Custom,5.50439453125,35.592498,54
Custom,5.54345703125,45.820913,80
Custom,5.64208984375,172.321495,202
Custom,5.7041015625,47.712184,127
Custom,5.80078125,154.69433,198
Custom,5.82373046875,30.560749,47
Custom,5.8916015625,48.496454,139
Custom,5.94287109375,70.297896,105
Custom,6.00732421875,98.740909,132
Custom,6.13818359375,185.54415,268
Custom,6.28125,221.123111,293
Custom,6.3583984375,115.596374,158
Custom,6.53466796875,264.994734,361
Custom,6.54638671875,16.939735,24
Custom,6.6337890625,97.705318,179
Custom,6.744140625,128.472677,226
Custom,6.794921875,67.380961,104
Custom,6.85888671875,61.833026,131
Custom,6.90576171875,1.782461,96
Custom,6.94873046875,38.396374,88
Custom,6.98681640625,45.531742,78
Custom,7.23095703125,426.949646,500
Custom,7.3330078125,137.380892,209
Custom,7.49072265625,255.891756,323
Custom,7.73486328125,422.545246,500
Custom,7.93896484375,334.564785,418
Custom,8.18310546875,421.121516,500
Custom,8.42724609375,445.324433,500
Custom,8.67138671875,444.345764,500
Custom,8.91552734375,405.297606,500
Custom,9.15966796875,465.74961,500
Custom,9.40380859375,467.251878,500
Custom,9.64794921875,469.971742,500
Custom,9.89208984375,459.332244,500
Custom,10.13623046875,477.707407,500
Custom,10.34033203125,369.563272,418
Custom,10.58447265625,476.989026,500
Custom,10.79052734375,369.756991,422
Custom,11.01123046875,400.347335,452
Custom,11.25537109375,474.610019,500
